lat,lon
47.715863,10.292624
47.71171118023086,10.29853405552194
47.708747045336054,10.302637795431984
47.72499902025911,10.30378201769129
47.72146275347377,10.30144085737721
47.70841531699178,10.311108671398022
47.72916367724001,10.304528681718503
47.737485005369976,10.307779278543038
47.732305580293044,10.310853243765905
47.72384004831559,10.310778743080544
47.724317505738874,10.314571911450912
47.70937036259195,10.312570014918583
47.736109492518494,10.313442788862076
47.714005057697015,10.314894572451879
47.738074874757324,10.316030075837162
47.71550491764172,10.315896335040343
47.71724625087264,10.31931243835299
47.7165422754575,10.32092331070893
47.716435761315786,10.320434212960516
47.719580928055066,10.33160534731894
47.742336782083775,10.323045357822439
47.7342126750777,10.323856537504316
47.730836813043055,10.327015420653119
47.72442565210716,10.333037583159255
47.736918,10.312535
