edge_id,start_lat,start_lon,end_lat,end_lon
-1033467868,10.31537317256079,47.73016161295067,10.314966419836603,47.730151518619856
-1049452852#0,10.311608335267202,47.720020233142165,10.311110127832627,47.722244616252404
-1049452853,10.312077323767841,47.71667099956131,10.311821776756137,47.71789978903967
-1049452860,10.314055873495715,47.72148164272356,10.314583777815992,47.72013545614369
-1118411055#0,10.306353242804223,47.72203982527318,10.300657711335706,47.71810939577407
-1118411056#0,10.307941970311097,47.72274515286362,10.306355533763792,47.72204078895284
-1207092159,10.294795312318938,47.71672380806071,10.293610654043084,47.716308692928266
-1207092165,10.309525577054206,47.73820196752977,10.308361630201587,47.7385631906165
-1207092166,10.309984041582567,47.73803247926327,10.309611686804505,47.738157120411785
-1207092168,10.310315196126595,47.73793777524581,10.310089138178967,47.73801341872755
-1207092169,10.310481794074473,47.737866004628856,10.31040123808175,47.73789292830516
-1207092170,10.310920413906125,47.737719188802224,10.310577427369791,47.73783395988987
-1207092171,10.311559875040112,47.73750200731446,10.311025865513681,47.737698368774254
-1207092172,10.31224481668718,47.7371415966584,10.31164339180643,47.73745493884264
-1207092178,10.314859830272937,47.730150310674226,10.313844409308668,47.73095186182007
-1207092179,10.315346010208971,47.73089416808741,10.315301716568857,47.73109478765138
-1207092180,10.315285906671567,47.73116605176214,10.31358617557352,47.73586592367268
-1365997933,10.310465144216893,47.723770640589166,10.307945472368573,47.72274655259831
-1365997934,10.31080271531032,47.72533033964669,10.311027353411331,47.724052599061956
-1366088313,10.31949061859657,47.71704370714972,10.316704153236392,47.720024403939824
-141669979,10.318238859955787,47.723093494045905,10.317888933804044,47.72396481610282
-141673698,10.31453673842119,47.724323322895,10.315680380030486,47.72414960353637
-141673710,10.31580558359292,47.72260314782006,10.316664293013678,47.72001415390986
-169784934,10.293535724380964,47.71624952204098,10.292693703884424,47.71592447166205
-183830700#0,10.309564742595445,47.735152473180975,10.309645531853915,47.7350818179775
-183830700#1,10.309529763082086,47.735183015103026,10.309564742595445,47.735152473180975
-215378441#0,10.310893265995503,47.7239009877744,10.310589499591888,47.723810790288475
-215378442,10.311279352568398,47.72288251919525,10.31113145427747,47.72362041288841
-240531075,10.313962314119792,47.7215683736746,10.31143308795922,47.72239856767306
-268705443,10.320533492261568,47.71646133523527,10.320576148790888,47.71646624300317
-268705444,10.319979573971587,47.716469418594045,10.31976928197236,47.716711090667566
-268705445,10.319733501460098,47.716780470794546,10.319560874786937,47.71698787729342
-268747284,10.313714698151879,47.70975765389553,10.313764817061422,47.70968842631787
-268747291#0,10.31340702757947,47.70995463037443,10.313649591110234,47.709819314891895
-268747295,10.312330586515655,47.71046183009238,10.311445687053368,47.711818568030566
-268747298,10.312751901668005,47.71027228425048,10.312418210637516,47.71042078733766
-27449139,10.307956308880103,47.736126027556196,10.307884751274413,47.736299151513435
-27449140,10.307884122858939,47.7363006883061,10.308007469114997,47.73791817048173
-27670260,10.31373443014533,47.716222840286605,10.314195650921484,47.71634604783024
-27678606,10.321229262368746,47.71964828378894,10.318239991643532,47.723090781690175
-27868711,10.315792025073009,47.72857148186625,10.315672817930082,47.72923400984395
-375100791#0,10.311659532587067,47.713683179450534,10.311436194565289,47.71364515205814
-375100791#1,10.311932423997908,47.71414965768452,10.311790047612014,47.713735944434205
